name,slug,domain1,subdomain1,domain2,subdomain2,description,startDate,partnerIds,instructorIds,primaryLanguages,subtitleLanguages,specializations,certificates,courseType,id,s12nIds,stars,ratings_count,num_enrolled,difficulty,length,ins_stars,ins_ratings_count,ins_learners_count,ins_courses_count,content_rating,content_ratings_count
Dealing With Missing Data,missing-data,data-science,data-analysis,social-sciences,governance-and-society,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general regression estimation.  Alternative techniques for imputing values for missing items will be discussed.  For both weighting and imputation, the capabilities of different statistical software packages will be covered, including R®, Stata®, and SAS®.",1471901099812,['32'],['8394050'],['en'],['es'],[],"['VerifiedCert', 'Specialization']",v2.ondemand,0HiU7Oe4EeWTAQ4yevf_oQ,['eYmv6d_7EeWOdA7Ea609SQ'],3.8,119,10404,,18,3.57,7,13999,5,,
 Cluster Analysis using RCmdr,cluster-analysis-rcmdr,data-science,data-analysis,,,"In this 1-hour long project-based course, we will show you how to do cluster analysis using RCmdr  using the k means method and Hierarchical method. This project uses data about 29 cars and has 22 dimensions such as price , acceleration and we will use these methods to cluster groups .

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1601055478420,['565'],['70333041'],['en'],[],[],['VerifiedCert'],v2.ondemand,zjIfbv3pEeqRMRJTGi3b6Q,[],,,,,,,,3340,,,
Performing Data Aggregation using SQL Aggregate Functions,performing-data-aggregation-using-sql-aggregate-functions,data-science,data-analysis,information-technology,data-management,"In this 2-hour long project-based course, you will learn how to retrieve data from tables in a database using SQL SELECT statement with SQL Aggregate functions. The aggregate functions we will consider in this project are COUNT, SUM, MIN, MAX and AVG. Aggregate functions are used to summarize data from rows of a table into a single value. In addition, you will learn how to set conditions on the output of an aggregate function using the HAVING clause. Finally, you will learn how to tidy up the result set of aggregate functions using the ROUND function.

Note: You do not need to be a data administrator or data analyst to be successful in this guided project, just a familiarity with querying databases using SQL SELECT statement suffice for this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled “Performing Data definition and Manipulation in SQL.""  and “Querying Databases using SQL SELECT statement”",1597188408088,['565'],['40353561'],['en'],[],[],['VerifiedCert'],v2.ondemand,LuXbfNnCEeq3nQoreMGNOQ,[],4.8,58,2657,,,,,20863,,,
Getting Started with AWS Machine Learning,aws-machine-learning,data-science,machine-learning,computer-science,software-development,"Machine learning (ML) is one of the fastest growing areas in technology and a highly sought after skillset in today’s job market. The World Economic Forum states the growth of artificial intelligence (AI) could create 58 million net new jobs in the next few years, yet it’s estimated that currently there are 300,000 AI engineers worldwide, but millions are needed. This means there is a unique and immediate opportunity for you to get started with learning the essential ML concepts that are used to build AI applications – no matter what your skill levels are. Learning the foundations of ML now, will help you keep pace with this growth, expand your skills and even help advance your career. 

This course will teach you how to get started with AWS Machine Learning. Key topics include: Machine Learning on AWS, Computer Vision on AWS, and Natural Language Processing (NLP) on AWS. Each topic consists of several modules deep-diving into variety of ML concepts, AWS services as well as insights from experts to put the concepts into practice.",1568841469010,['338'],['37525971'],['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'es']",[],['VerifiedCert'],v2.ondemand,GHxiT9MGEemYpxKNJIfVmA,[],4.5,6218,191477,Intermediate Level,9,4.53,1809,453721,5,94%,9896
Social Network Analysis,social-network-analysis,data-science,data-analysis,social-sciences,education,"This course is designed to quite literally ‘make a science’ out of something at the heart of society: social networks. Humans are natural network scientists, as we compute new network configurations all the time, almost unaware, when thinking about friends and family (which are particular forms of social networks), about colleagues and organizational relations (other, overlapping network structures), and about how to navigate delicate or opportunistic network configurations to save guard or advance in our social standing (with society being one big social network itself). While such network structures always existed, computational social science has helped to reveal and to study them more systematically. In the first part of the course we focus on network structure. This looks as static snapshots of networks, which can be intricate and reveal important aspects of social systems. In our hands-on lab, you will also visualize and analyze a network with a software yourself, which will help to appreciate the complexity social networks can take on. During the second part of the course, we will look at how networks evolve in time. We ask how we can predict what kind of network will form and if and how we could influence network dynamics.",1576005639598,['83'],['1503466'],['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,hwvdsk86Eem0lhKc4vCNig,['SIs8zE87EemPhBLbT0zqZA'],4.7,179,11250,Beginner Level,10,4.78,49,36006,5,,
Computer Vision Basics,computer-vision-basics,computer-science,algorithms,data-science,machine-learning,"By the end of this course, learners will understand what computer vision is, as well as its mission of making computers see and interpret the world as humans do, by learning core concepts of the field and receiving an introduction to human vision capabilities. They are equipped to identify some key application areas of computer vision and understand the digital imaging process. The course covers crucial elements that enable computer vision: digital signal processing, neuroscience and artificial intelligence. Topics include color, light and image formation; early, mid- and high-level vision; and mathematics essential for computer vision. Learners will be able to apply mathematical techniques to complete computer vision tasks. 

This course is ideal for anyone curious about or interested in exploring the concepts of computer vision. It is also useful for those who desire a refresher course in mathematical concepts of computer vision. Learners should have basic programming skills and experience (understanding of for loops, if/else statements), specifically in MATLAB (Mathworks provides the basics here: https://www.mathworks.com/learn/tutorials/matlab-onramp.html). Learners should also be familiar with the following: basic linear algebra (matrix vector operations and notation), 3D co-ordinate systems and transformations, basic calculus (derivatives and integration) and basic probability (random variables).  

Material includes online lectures, videos, demos, hands-on exercises, project work, readings and discussions. Learners gain experience writing computer vision programs through online labs using MATLAB* and supporting toolboxes.

 * A free license to install MATLAB for the duration of the course is available from MathWorks.",1555339207762,"['458', '117']","['30951525', '33716827']",['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'es']",[],['VerifiedCert'],v2.ondemand,5YCz7-zMEeeMzQrhp6Bs1g,[],4.2,1738,71144,Intermediate Level,13,4.28,400,74032,4,96%,8116
Analyze Box Office Data with Seaborn and Python,analyze-data-seaborn-python,data-science,machine-learning,data-science,data-analysis,"Welcome to this project-based course on Analyzing Box Office Data with Seaborn and Python. In this course, you will be working with the The Movie Database (TMDB) Box Office Prediction data set. The motion picture industry is raking in more revenue than ever with its expansive growth the world over. Can we build models to accurately predict movie revenue? Could the results from these models be used to further increase revenue? We try to answer these questions by way of exploratory data analysis (EDA) in this project and the next. The statistical data visualization libraries Seaborn and Plotly will be our workhorses to generate interactive, publication-quality graphs. By the end of this course, you will be able to produce data visualizations in Python with Seaborn, and apply graphical techniques used in exploratory data analysis (EDA).

This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you’ll get instant access to a cloud desktop with Python, Jupyter, and scikit-learn pre-installed.

Notes:
-  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want.
- This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1582082440897,['565'],['15528766'],['en'],[],[],['VerifiedCert'],v2.ondemand,fd3ZQRthEeqQJw6Wlm3hnw,[],4.5,171,4122,,,5.0,7,139004,,,
Code Free Data Science,code-free-data-science,data-science,machine-learning,data-science,data-analysis,"The Code Free Data Science class is designed for learners seeking to gain or expand their knowledge in the area of Data Science.  Participants will receive the basic training in effective predictive analytic approaches accompanying the growing discipline of Data Science without any programming requirements.  Machine Learning methods will be presented by utilizing the KNIME Analytics Platform to discover patterns and relationships in data. Predicting future trends and behaviors allows for proactive, data-driven decisions.  During the class learners will acquire new skills to apply predictive algorithms to real data, evaluate, validate and interpret the results without any pre requisites for any kind of programming.  Participants will gain the essential skills to design, build, verify and test predictive models.  
You Will Learn
•	How to design Data Science workflows without any programming involved
•	Essential Data Science skills to design, build, test and evaluate predictive models
•	Data Manipulation, preparation and Classification and clustering methods
•	Ways to apply Data Science algorithms to real data and evaluate and interpret the results",1553187483970,['53'],['4972118'],['en'],"['fr', 'pt-PT', 'ru', 'es']",[],['VerifiedCert'],v2.ondemand,GJT3MD6xEemL3g4W6JiGWA,[],4.4,165,20062,Beginner Level,14,4.28,88,195893,4,92%,1187
Accounting Analytics,accounting-analytics,business,finance,data-science,data-analysis,"Accounting Analytics explores how financial statement data and non-financial metrics can be linked to financial performance.  In this course, taught by Wharton’s acclaimed accounting professors, you’ll learn how data is used to assess what drives financial performance and to forecast future financial scenarios. While many accounting and financial organizations deliver data, accounting analytics deploys that data to deliver insight, and this course will explore the many areas in which accounting data provides insight into other business areas including consumer behavior predictions, corporate strategy, risk management, optimization, and more. By the end of this course, you’ll understand how financial data and non-financial data interact to forecast events, optimize operations, and determine strategy. This course has been designed to help you make better business decisions about the emerging roles of accounting analytics, so that you can apply what you’ve learned to make your own business decisions and create strategy using financial data. ",1452300586134,['6'],"['1937011', '14757138']",['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'mn']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,rc5KG0aUEeWG1w6arGoEIQ,['utjeMEgmEeWJSQ6Y2aPmQQ'],4.5,2811,96638,,10,4.67,174,363139,5,92%,5673
"Extract, Transform, and Load Data",extract-transform-and-load-data,data-science,data-analysis,data-science,machine-learning,"This course is designed for business and data professional seeking to learn the first technical phase of the data science process known as Extract, Transform and Load or ETL.  

Learners will be taught how to collect data from multiple sources so it is available to be transformed and cleaned and then will dive into collected data sets to prepare and clean data so that it can later be loaded into its ultimate destination. In the conclusion of the course learners will load data into its ultimate destination so that it can be analyzed and modeled. 

The typical student in this course will have experience working with data and aptitude with computer programming.",1634311043240,['639'],"['73411398', '19542214', '50069859']",['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,AW_qutKPEeux6ApRYvYN1w,['3UP06qzSEeupbwow02JDpQ'],,,,Intermediate Level,15,,,2506,6,,
