instructorName,instructorId
Brian Walsh,77620729
Emily Ellis,3259066
"Harold P. Lehmann, MD, Ph.D.",678654
Brian Casey,29515160
Vicente Hinojosa Alarcón,2636979
Wiep van Bunge,24366942
Antonio Cangiano,29341502
Martin Meister,97858251
"Mary Kohn, MD",38049825
盧信銘,3949027
Philip D. Jaffé,23009159
Catherine Faron Zucker,37636631
Hank C. Lucas,1571429
Richard Thomas Griffiths,5695372
Francois Harik,95438934
Iván Martínez,42060490
Dae-Sik Hong,22477005
Andrea Herrera Suescún,62186367
"Stan Deresinski, MD",1166989
Kavitha Ramchandran,26089566
Mike Yao,22948180
Lise Penillard,10214854
Talend Academy,34839444
Vita Kadile,98819693
"Goldman Sachs 10,000 Women",29616228
  Dave Nagy,12056243
Bill Howe,999946
Talita Cordeiro,101196701
Benoît Tanguy,40247790
Jan Niehues,46466879
Meri Torras Francès,6073198
Dr. Armend Tahirsylaj,7397048
Daniel B. Rodriguez,55753332
Marie-Françoise Durand,9848589
Kevin Leyton-Brown,174814
Robert Wilken,20582948
Edson Germano,99840557
Lucia Reining,36494143
Ehud de Shalit,2643198
Sérgio Adriano Loureiro,13050128
Marieke Liem,29320541
Andrew D. Hilton,13723802
David Jeffrey Goodman,20212237
Jiang Shuo,14022578
Carme Arenas Noguera,78466919
Bastien Chopard,6403300
Dr Sarah Warnes,15881511
"Patricia  Bravo, MBA, SPHR ",8883335
Rocío Pérez de León Vargas,89237543
Martin Debbané,10211735
Anthony D'Costa,9842283
Marion Le Morhedec,11676404
Andrea Zonca,13855756
Dr. Kristin Sainani,1367410
Guenther Walther,33497310
Homero Larrain,18223054
Veronica Scurtu,18342581
Fernando Mello Trevisani,6427854
María Laura Imvinkelried,40972069
陈斌,11511889
Saishruthi Swaminathan,30396287
Margarita León,6735813
William J. White,7444132
Carlos García Pont,15919463
Jon Reifschneider,45353055
Tim Carrington,86182999
Tanmay Bakshi,42456895
Cristian Ruz,25688940
Jonathan Anzalone,20034451
Nicolas Graf,9322471
"Shizhou Wang, 王世洲",6063593
Manki Kim,66567730
Gabriela Guzmán León,84596287
Roberto Luchi,34315644
Arnold Bakker,27713092
Robert McLeod,18806868
André Ravel (in Partnership with UNIGE),24560205
Xavier Rubiralta Costa,53879640
Alexis Gonin,9057864
Morten Hartvig Hansen,15810974
Mats Lindroos,42994238
Xavier Gil,16109124
歐麗娟,4656064
Amarnath Gupta,13855068
"Bernard LaFayette, Jr. ",15786347
Mark C. Serreze,46331612
Elsa Blume,17057577
Professor Richard Badham,46427519
Mark Valentine Sullivan,15472833
Sandra Julieta Rueda Rodríguez,4038228
Michelle Gama Leyva,6279611
Youssef Khaled,64159388
Mark McEntee,25206633
Jean Manuel Izaret,21922165
Kevin Lynch,4812278
Kent Hutchison ,36305546
Andrea Vidal Durà,29259391
Ismael David Piedra Noriega,44923525
Alex Aklson,28512151
Alejandro Cosentino,90884760
康仕仲,2139037
Mario Jiménez Velasco,3016519
Amy Giaculli,9775195
Dr Abas Mirzaei,36662770
Lise Lotte Gluud,45599804
Jennifer,66772975
Jon Fjeldså,10165347
Dr.  Jessica L. Metcalf,7956673
Michelle Malcher,101640880
Brenda Leon,77284369
Ing. Fernando Jaime Enriquez,14757579
Gautam Kaul,209008
Dan Boneh,774
Cristina Blasi Casagran,4445515
Sohila Radwan Bakr,52927790
